"title","section","char_count","word_count"
"Статья 1. Осуществление правосудия арбитражными судами","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",583,65
"Статья 2. Задачи судопроизводства в арбитражных судах","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",1262,147
"Статья 3. Законодательство о судопроизводстве в арбитражных судах","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",1837,212
"Статья 4. Право на обращение в арбитражный суд","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",5782,727
"Статья 5. Независимость судей арбитражных судов","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",1425,165
"Статья 6. Законность при рассмотрении дел арбитражным судом","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",322,38
"Статья 6<sup>1</sup>. Разумные сроки судопроизводства в арбитражных судах и исполнения судебного акта","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",2348,300
"Статья 7. Равенство всех перед законом и судом","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",647,81
"Статья 8. Равноправие сторон","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",573,72
"Статья 9. Состязательность","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",1161,138
"Статья 10. Непосредственность судебного разбирательства","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",321,39
"Статья 11. Гласность судебного разбирательства","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",2014,246
"Статья 12. Язык судопроизводства","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",423,57
"Статья 13. Нормативные правовые акты, применяемые при рассмотрении дел","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",2683,317
"Статья 14. Применение норм иностранного права","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",1202,151
"Статья 15. Судебные акты арбитражного суда, Верховного Суда Российской Федерации","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",2213,259
"Статья 16. Обязательность судебных актов","Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ",2061,249
"Статья 17. Единоличное и коллегиальное рассмотрение дел","Глава 2. СОСТАВ АРБИТРАЖНОГО СУДА",2105,276
"Статья 18. Формирование состава суда","Глава 2. СОСТАВ АРБИТРАЖНОГО СУДА",1753,218
"Статья 19. Привлечение к рассмотрению дел арбитражных заседателей","Глава 2. СОСТАВ АРБИТРАЖНОГО СУДА",3083,393
"Статья 20. Порядок разрешения вопросов судом в коллегиальном составе. Особое мнение судьи","Глава 2. СОСТАВ АРБИТРАЖНОГО СУДА",1333,187
"Статья 21. Отвод судьи","Глава 3. ОТВОДЫ",1783,243
"Статья 22. Недопустимость повторного участия судьи в рассмотрении дела","Глава 3. ОТВОДЫ",869,123
"Статья 23. Отвод помощника судьи, секретаря судебного заседания, эксперта, специалиста, переводчика","Глава 3. ОТВОДЫ",1277,161
"Статья 24. Заявления о самоотводах и об отводах","Глава 3. ОТВОДЫ",939,133
"Статья 25. Порядок разрешения заявленного отвода","Глава 3. ОТВОДЫ",1039,137
"Статья 26. Последствия удовлетворения заявления об отводе","Глава 3. ОТВОДЫ",645,92
"Статья 27. Споры, относящиеся к компетенции арбитражных судов","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",4325,535
"Статья 28. Компетенция арбитражных судов по экономическим спорам и иным делам, возникающим из гражданских правоотношений","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",802,94
"Статья 29. Компетенция арбитражных судов по экономическим спорам и другим делам, возникающим из административных и иных публичных правоотношений","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",2346,288
"Статья 30. Компетенция арбитражных судов по делам об установлении фактов, имеющих юридическое значение","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",424,52
"Статья 31. Компетенция арбитражных судов по делам, связанным с выполнением арбитражными судами функций содействия и контроля в отношении третейских судов","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",830,102
"Статья 32. Компетенция арбитражных судов по делам о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",492,63
"Статья 33. Споры, подлежащие передаче на рассмотрение третейского суда","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",1529,196
"Статья 34. Подсудность дел арбитражным судам","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",3478,425
